Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	1,843e-004
0	1	8,4118	46,	1,5857	2713	1,9609e-004
0	2	8,4192	46,	1,5312	2713	2,0131e-004
0	3	8,4872	46,	1,5312	2713	1,81e-004
1	4	8,4962	46,	1,5857	2714	2,9684e-004
1	5	8,4118	46,	1,5857	2714	2,8306e-004
1	6	8,4084	46,	1,6506	2714	2,9219e-004
1	7	8,5003	46,	1,6506	2714	2,9939e-004
2	8	8,5003	46,	1,6506	2715	4,2155e-004
2	9	8,4084	46,	1,6506	2715	4,2113e-004
2	10	8,4084	46,	1,7174	2715	4,2741e-004
2	11	8,5002	46,	1,7174	2715	4,27e-004
3	12	8,5002	46,	1,7174	2716	4,29e-004
3	13	8,4084	46,	1,7174	2716	4,0834e-004
3	14	8,4118	46,	1,7816	2716	3,9789e-004
3	15	8,4962	46,	1,7816	2716	4,1938e-004
4	16	8,4962	46,	1,7816	2717	3,0578e-004
4	17	8,4118	46,	1,7816	2717	2,9404e-004
4	18	8,4192	46,	1,8362	2717	2,88e-004
4	19	8,4872	46,	1,8362	2717	3,0456e-004
5	20	8,4872	46,	1,8362	2718	2,331e-004
5	21	8,4192	46,	1,8362	2718	2,0022e-004
5	22	8,4192	46,	1,8562	2718	2,03e-004
5	23	8,4872	46,	1,8562	2718	2,2624e-004
6	24	8,5087	46,	1,5857	2725	1,7745e-004
6	25	8,5548	46,	1,5857	2725	1,8788e-004
6	26	8,5345	46,	1,5312	2725	1,7659e-004
6	27	8,4974	46,	1,5312	2725	1,7238e-004
7	28	8,5548	46,	1,5857	2726	2,4281e-004
7	29	8,5087	46,	1,5857	2726	2,6198e-004
7	30	8,5139	46,	1,6506	2726	2,6119e-004
7	31	8,5641	46,	1,6506	2726	2,2759e-004
8	32	8,5641	46,	1,6506	2727	2,2423e-004
8	33	8,5139	46,	1,6506	2727	2,2921e-004
8	34	8,5139	46,	1,7174	2727	2,786e-004
8	35	8,5641	46,	1,7174	2727	2,6858e-004
9	36	8,5641	46,	1,7174	2728	5,2861e-004
9	37	8,5139	46,	1,7174	2728	4,7153e-004
9	38	8,5087	46,	1,7816	2728	4,3926e-004
9	39	8,5549	46,	1,7816	2728	5,2793e-004
10	40	8,5549	46,	1,7816	2729	5,0155e-004
10	41	8,5087	46,	1,7816	2729	5,1143e-004
10	42	8,4974	46,	1,8362	2729	4,582e-004
10	43	8,5345	46,	1,8362	2729	4,6159e-004
11	44	8,5345	46,	1,8362	2730	2,4079e-004
11	45	8,4974	46,	1,8362	2730	2,2828e-004
11	46	8,4974	46,	1,8562	2730	2,3822e-004
11	47	8,5345	46,	1,8562	2730	2,2236e-004
12	48	8,5087	46,	1,5857	2731	1,7397e-004
12	49	8,4962	46,	1,5857	2731	1,7098e-004
12	50	8,4872	46,	1,5312	2731	1,6547e-004
12	51	8,4974	46,	1,5312	2731	1,6861e-004
13	52	8,4962	46,	1,5857	2732	2,7098e-004
13	53	8,5087	46,	1,5857	2732	2,6479e-004
13	54	8,5139	46,	1,6506	2732	2,6457e-004
13	55	8,5003	46,	1,6506	2732	2,7279e-004
14	56	8,5003	46,	1,6506	2733	2,579e-004
14	57	8,5139	46,	1,6506	2733	2,538e-004
14	58	8,5139	46,	1,7174	2733	2,9325e-004
14	59	8,5002	46,	1,7174	2733	2,9748e-004
15	60	8,5002	46,	1,7174	2734	4,5361e-004
15	61	8,5139	46,	1,7174	2734	4,7056e-004
15	62	8,5087	46,	1,7816	2734	4,3729e-004
15	63	8,4962	46,	1,7816	2734	4,1773e-004
16	64	8,4962	46,	1,7816	2735	4,9005e-004
16	65	8,5087	46,	1,7816	2735	4,9069e-004
16	66	8,4974	46,	1,8362	2735	4,4919e-004
16	67	8,4872	46,	1,8362	2735	4,5328e-004
17	68	8,4872	46,	1,8362	2736	2,2838e-004
17	69	8,4974	46,	1,8362	2736	2,309e-004
17	70	8,4974	46,	1,8562	2736	2,3334e-004
17	71	8,4872	46,	1,8562	2736	2,351e-004
18	72	8,4018	46,	1,5857	2749	3,0461e-004
18	73	8,3261	46,	1,5857	2749	2,8988e-004
18	74	8,3501	46,	1,5312	2749	3,5177e-004
18	75	8,4112	46,	1,5312	2749	2,7447e-004
19	76	8,4018	46,	1,5857	2750	3,8025e-004
19	77	8,3261	46,	1,5857	2750	3,6382e-004
19	78	8,3151	46,	1,6506	2750	4,4168e-004
19	79	8,3976	46,	1,6506	2750	3,8716e-004
20	80	8,3976	46,	1,6506	2751	2,3411e-004
20	81	8,3151	46,	1,6506	2751	1,9869e-004
20	82	8,3152	46,	1,7174	2751	1,7211e-004
20	83	8,3976	46,	1,7174	2751	2,0247e-004
