Facet	Point	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Element Number	Accumulated Equivalent Plastic Strain (mm/mm)
0	0	8,4962	46,	1,5857	2713	4,9271e-004
0	1	8,4118	46,	1,5857	2713	5,2298e-004
0	2	8,4192	46,	1,5312	2713	5,4125e-004
0	3	8,4872	46,	1,5312	2713	4,9153e-004
1	4	8,4962	46,	1,5857	2714	8,5346e-004
1	5	8,4118	46,	1,5857	2714	8,0627e-004
1	6	8,4084	46,	1,6506	2714	8,3717e-004
1	7	8,5003	46,	1,6506	2714	8,6405e-004
2	8	8,5003	46,	1,6506	2715	1,4259e-003
2	9	8,4084	46,	1,6506	2715	1,4096e-003
2	10	8,4084	46,	1,7174	2715	1,4481e-003
2	11	8,5002	46,	1,7174	2715	1,454e-003
3	12	8,5002	46,	1,7174	2716	1,5421e-003
3	13	8,4084	46,	1,7174	2716	1,4056e-003
3	14	8,4118	46,	1,7816	2716	1,3418e-003
3	15	8,4962	46,	1,7816	2716	1,489e-003
4	16	8,4962	46,	1,7816	2717	9,2523e-004
4	17	8,4118	46,	1,7816	2717	8,6634e-004
4	18	8,4192	46,	1,8362	2717	8,4421e-004
4	19	8,4872	46,	1,8362	2717	9,192e-004
5	20	8,4872	46,	1,8362	2718	6,3279e-004
5	21	8,4192	46,	1,8362	2718	5,287e-004
5	22	8,4192	46,	1,8562	2718	5,3753e-004
5	23	8,4872	46,	1,8562	2718	6,1141e-004
6	24	8,5087	46,	1,5857	2725	4,5937e-004
6	25	8,5548	46,	1,5857	2725	4,8799e-004
6	26	8,5345	46,	1,5312	2725	4,5669e-004
6	27	8,4974	46,	1,5312	2725	4,4983e-004
7	28	8,5548	46,	1,5857	2726	6,6016e-004
7	29	8,5087	46,	1,5857	2726	7,2146e-004
7	30	8,5139	46,	1,6506	2726	7,2185e-004
7	31	8,5641	46,	1,6506	2726	6,1332e-004
8	32	8,5641	46,	1,6506	2727	6,0746e-004
8	33	8,5139	46,	1,6506	2727	6,2233e-004
8	34	8,5139	46,	1,7174	2727	7,9448e-004
8	35	8,5641	46,	1,7174	2727	7,5601e-004
9	36	8,5641	46,	1,7174	2728	2,061e-003
9	37	8,5139	46,	1,7174	2728	1,6889e-003
9	38	8,5087	46,	1,7816	2728	1,546e-003
9	39	8,5549	46,	1,7816	2728	2,1043e-003
10	40	8,5549	46,	1,7816	2729	2,129e-003
10	41	8,5087	46,	1,7816	2729	2,209e-003
10	42	8,4974	46,	1,8362	2729	1,7654e-003
10	43	8,5345	46,	1,8362	2729	1,7892e-003
11	44	8,5345	46,	1,8362	2730	7,1334e-004
11	45	8,4974	46,	1,8362	2730	6,5359e-004
11	46	8,4974	46,	1,8562	2730	6,9134e-004
11	47	8,5345	46,	1,8562	2730	6,486e-004
12	48	8,5087	46,	1,5857	2731	4,4836e-004
12	49	8,4962	46,	1,5857	2731	4,3973e-004
12	50	8,4872	46,	1,5312	2731	4,3217e-004
12	51	8,4974	46,	1,5312	2731	4,4032e-004
13	52	8,4962	46,	1,5857	2732	7,4718e-004
13	53	8,5087	46,	1,5857	2732	7,2825e-004
13	54	8,5139	46,	1,6506	2732	7,3029e-004
13	55	8,5003	46,	1,6506	2732	7,5649e-004
14	56	8,5003	46,	1,6506	2733	7,1598e-004
14	57	8,5139	46,	1,6506	2733	7,0222e-004
14	58	8,5139	46,	1,7174	2733	8,4679e-004
14	59	8,5002	46,	1,7174	2733	8,6149e-004
15	60	8,5002	46,	1,7174	2734	1,5917e-003
15	61	8,5139	46,	1,7174	2734	1,6998e-003
15	62	8,5087	46,	1,7816	2734	1,5275e-003
15	63	8,4962	46,	1,7816	2734	1,4078e-003
16	64	8,4962	46,	1,7816	2735	2,0146e-003
16	65	8,5087	46,	1,7816	2735	2,0229e-003
16	66	8,4974	46,	1,8362	2735	1,7106e-003
16	67	8,4872	46,	1,8362	2735	1,739e-003
17	68	8,4872	46,	1,8362	2736	6,4529e-004
17	69	8,4974	46,	1,8362	2736	6,5816e-004
17	70	8,4974	46,	1,8562	2736	6,6308e-004
17	71	8,4872	46,	1,8562	2736	6,6489e-004
18	72	8,4018	46,	1,5857	2749	8,9279e-004
18	73	8,3261	46,	1,5857	2749	8,5066e-004
18	74	8,3501	46,	1,5312	2749	1,1179e-003
18	75	8,4112	46,	1,5312	2749	8,0715e-004
19	76	8,4018	46,	1,5857	2750	1,1443e-003
19	77	8,3261	46,	1,5857	2750	1,0437e-003
19	78	8,3151	46,	1,6506	2750	1,3757e-003
19	79	8,3976	46,	1,6506	2750	1,1658e-003
20	80	8,3976	46,	1,6506	2751	5,975e-004
20	81	8,3151	46,	1,6506	2751	4,8505e-004
20	82	8,3152	46,	1,7174	2751	4,2817e-004
20	83	8,3976	46,	1,7174	2751	5,1056e-004
21	84	8,3976	46,	1,7174	2752	7,6815e-004
21	85	8,3152	46,	1,7174	2752	7,1466e-004
21	86	8,3261	46,	1,7816	2752	7,1233e-004
21	87	8,4018	46,	1,7816	2752	7,8055e-004
22	88	8,4018	46,	1,7816	2753	9,9841e-004
22	89	8,3261	46,	1,7816	2753	8,2585e-004
22	90	8,3501	46,	1,8362	2753	7,7087e-004
22	91	8,4112	46,	1,8362	2753	1,0126e-003
23	92	8,4112	46,	1,8362	2754	4,9095e-004
23	93	8,3501	46,	1,8362	2754	4,4268e-004
23	94	8,3501	46,	1,8562	2754	4,4898e-004
23	95	8,4112	46,	1,8562	2754	4,6811e-004
24	96	8,4018	46,	1,5857	2755	7,3282e-004
24	97	8,4118	46,	1,5857	2755	7,1132e-004
24	98	8,4192	46,	1,5312	2755	7,3483e-004
24	99	8,4112	46,	1,5312	2755	7,5362e-004
25	100	8,4118	46,	1,5857	2756	1,065e-003
25	101	8,4018	46,	1,5857	2756	1,0894e-003
25	102	8,3976	46,	1,6506	2756	1,1337e-003
25	103	8,4084	46,	1,6506	2756	1,1274e-003
26	104	8,4084	46,	1,6506	2757	9,0297e-004
26	105	8,3976	46,	1,6506	2757	8,7857e-004
26	106	8,3976	46,	1,7174	2757	8,2337e-004
26	107	8,4084	46,	1,7174	2757	8,407e-004
27	108	8,4084	46,	1,7174	2758	1,0165e-003
27	109	8,3976	46,	1,7174	2758	9,8616e-004
27	110	8,4018	46,	1,7816	2758	9,8737e-004
27	111	8,4118	46,	1,7816	2758	9,9534e-004
28	112	8,4118	46,	1,7816	2759	9,9091e-004
28	113	8,4018	46,	1,7816	2759	9,7491e-004
28	114	8,4112	46,	1,8362	2759	1,0001e-003
28	115	8,4192	46,	1,8362	2759	1,0032e-003
29	116	8,4192	46,	1,8362	2760	5,4271e-004
29	117	8,4112	46,	1,8362	2760	5,4955e-004
29	118	8,4112	46,	1,8562	2760	5,461e-004
29	119	8,4192	46,	1,8562	2760	5,4222e-004
30	120	8,5548	46,	1,5857	2791	4,4228e-004
30	121	8,6546	46,	1,5857	2791	3,0794e-004
30	122	8,6149	46,	1,5312	2791	2,7271e-004
30	123	8,5345	46,	1,5312	2791	4,1086e-004
31	124	8,5548	46,	1,5857	2792	1,7441e-004
31	125	8,6546	46,	1,5857	2792	1,435e-004
31	126	8,6728	46,	1,6506	2792	1,1352e-004
31	127	8,5641	46,	1,6506	2792	1,6348e-004
32	128	8,5641	46,	1,6506	2793	2,5524e-004
32	129	8,6728	46,	1,6506	2793	1,6539e-004
32	130	8,6727	46,	1,7174	2793	1,8431e-004
32	131	8,5641	46,	1,7174	2793	3,0414e-004
33	132	8,5641	46,	1,7174	2794	5,5052e-004
33	133	8,6727	46,	1,7174	2794	3,4274e-004
33	134	8,6547	46,	1,7816	2794	5,0363e-004
33	135	8,5549	46,	1,7816	2794	8,4652e-004
34	136	8,5549	46,	1,7816	2795	1,6361e-003
34	137	8,6547	46,	1,7816	2795	2,5426e-003
34	138	8,6149	46,	1,8362	2795	2,838e-003
34	139	8,5345	46,	1,8362	2795	1,4392e-003
35	140	8,5345	46,	1,8362	2796	1,3983e-003
35	141	8,6149	46,	1,8362	2796	2,7473e-002
35	142	8,6149	46,	1,8562	2796	2,2474e-002
35	143	8,5345	46,	1,8562	2796	1,1997e-003
36	144	8,248	46,	1,5857	2827	1,5102e-003
36	145	8,2454	46,	1,5857	2827	1,4924e-003
36	146	8,2851	46,	1,5312	2827	1,074e-003
36	147	8,2872	46,	1,5312	2827	1,0796e-003
37	148	8,2454	46,	1,5857	2828	2,1888e-004
37	149	8,248	46,	1,5857	2828	2,295e-004
37	150	8,2301	46,	1,6506	2828	3,8702e-005
37	151	8,2272	46,	1,6506	2828	3,2202e-005
38	152	8,2272	46,	1,6506	2829	2,7607e-005
38	153	8,2301	46,	1,6506	2829	2,8753e-005
38	154	8,2301	46,	1,7174	2829	3,1672e-005
38	155	8,2273	46,	1,7174	2829	3,1278e-005
39	156	8,2273	46,	1,7174	2830	5,8298e-005
39	157	8,2301	46,	1,7174	2830	6,0513e-005
39	158	8,2479	46,	1,7816	2830	1,687e-004
39	159	8,2453	46,	1,7816	2830	1,653e-004
40	160	8,2453	46,	1,7816	2831	7,9347e-004
40	161	8,2479	46,	1,7816	2831	7,8691e-004
40	162	8,2872	46,	1,8362	2831	9,5095e-004
40	163	8,2851	46,	1,8362	2831	9,636e-004
41	164	8,2851	46,	1,8362	2832	4,4576e-003
41	165	8,2872	46,	1,8362	2832	4,3251e-003
41	166	8,2872	46,	1,8562	2832	3,2925e-003
41	167	8,2851	46,	1,8562	2832	3,3906e-003
42	168	8,248	46,	1,5857	2833	1,5773e-003
42	169	8,3261	46,	1,5857	2833	2,3416e-003
42	170	8,3501	46,	1,5312	2833	1,4387e-003
42	171	8,2872	46,	1,5312	2833	1,0796e-003
43	172	8,3261	46,	1,5857	2834	5,3872e-004
43	173	8,248	46,	1,5857	2834	2,4403e-004
43	174	8,2301	46,	1,6506	2834	1,0686e-004
43	175	8,3151	46,	1,6506	2834	2,6687e-004
44	176	8,3151	46,	1,6506	2835	1,1823e-004
44	177	8,2301	46,	1,6506	2835	5,9158e-005
44	178	8,2301	46,	1,7174	2835	6,2478e-005
44	179	8,3152	46,	1,7174	2835	1,0352e-004
